date,cases
06.03.2020,79
07.03.2020,96
08.03.2020,127
09.03.2020,152
10.03.2020,217
11.03.2020,323
12.03.2020,451
13.03.2020,641
14.03.2020,825
15.03.2020,1034
16.03.2020,1321
17.03.2020,1670
18.03.2020,2092
19.03.2020,2565
20.03.2020,3104
21.03.2020,3549
22.03.2020,4185
23.03.2020,4999
24.03.2020,5797
25.03.2020,6454
26.03.2020,7415
27.03.2020,8210
28.03.2020,8759
29.03.2020,9215
30.03.2020,9908
31.03.2020,10451
01.04.2020,10914
02.04.2020,11268
03.04.2020,11595
04.04.2020,11766
