date,cases
07.03.2020,96
08.03.2020,127
09.03.2020,152
10.03.2020,217
11.03.2020,323
12.03.2020,451
13.03.2020,641
14.03.2020,825
15.03.2020,1034
16.03.2020,1321
17.03.2020,1670
18.03.2020,2092
19.03.2020,2565
20.03.2020,3105
21.03.2020,3551
22.03.2020,4187
23.03.2020,5001
24.03.2020,5799
25.03.2020,6457
26.03.2020,7418
27.03.2020,8211
28.03.2020,8760
29.03.2020,9218
30.03.2020,9911
31.03.2020,10454
01.04.2020,10927
02.04.2020,11287
03.04.2020,11625
04.04.2020,11818
