date,cases
06.03.2020,79
07.03.2020,96
08.03.2020,127
09.03.2020,152
10.03.2020,217
11.03.2020,323
12.03.2020,451
13.03.2020,641
14.03.2020,825
15.03.2020,1034
16.03.2020,1321
17.03.2020,1670
18.03.2020,2092
19.03.2020,2565
20.03.2020,3103
21.03.2020,3548
22.03.2020,4184
23.03.2020,4998
24.03.2020,5796
25.03.2020,6453
26.03.2020,7414
27.03.2020,8209
28.03.2020,8758
29.03.2020,9214
30.03.2020,9907
31.03.2020,10450
01.04.2020,10913
02.04.2020,11267
03.04.2020,11566
